Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,happiness score,Cluster
Africa,North Africa,Mauritania,-0.4874827083732259,-0.46331597943161756,0.9742213214765753,0.6536736866557903,-0.772816769503644,-1.321447405949639,-0.43581525036071245,-0.49716781133612054,-1.230939222877749,-0.14994247807787164,1.0973067806707961,-0.9047357581786306,-1.5043062966256031,0.013976166284465725,0.5536452468289262,0.8497130825847319,-0.7125226399616065,-0.4609339404777022,-1.055903461134821,-0.392042399521358,0.23220261443267298,0.28576388888136195,-0.6836464027703921,-1.0308672995080441,-0.38173117027220516,-0.4447684329692112,-1.2914660398359197,-1.1630838101926755,-1.069897955653854,-1.2968910333768373,-0.5780059067009452,-0.12997773103580823,-0.9064885672742087,-1.429855066958685,-1.3920010235061853,-0.8682161437185087,4.505099773406982,2
Africa,Central Africa,Cameroon,0.927035369212499,1.0367111405563332,0.39389812689330655,0.16657321744896597,1.035106097335184,1.488308137717856,1.4041422597559197,1.0921222522311054,0.2030925880804333,-0.6204936694442003,1.0973067806707961,0.9503930739964103,0.2194577464118775,0.013976166284465725,1.3693210684929167,0.2490001707208004,0.9245829494739893,0.7466712700951009,0.20076273413149215,1.091569033961429,0.8693841962171166,0.9019921632288801,-0.1428933054970902,-1.0064013146574475,-1.4651740506036113,-1.4758832385314662,-0.2030252289698391,-0.5754524610639153,-1.069897955653854,-0.4753375231742239,-1.6637006998229151,-0.7571202832835834,-1.1781536192678768,-0.9071997110438625,-1.1189764325136105,0.14273840070183635,4.8744001388549805,1
Asia,Western Asia,Iraq,1.5706785156271676,1.0673239389234335,0.9742213214765753,1.6278746250694387,1.7130771723997444,-1.1053123641290625,-0.43581525036071245,1.6881060260688152,0.9201084935595245,0.08533311760529264,0.10613575725676949,0.9503930739964103,-1.2580542904773915,1.8122428948857159,0.8255371873835897,1.1500695385166975,1.3923274035984452,1.8871873023027486,1.0385401976423676,1.6850136073545436,1.081778056811931,2.134448711923916,1.4793659863228157,-0.9819353298068507,-0.6525918903550567,-0.9603258357503387,-1.0193558371193996,-1.1630838101926755,-0.5458108860061539,-0.7491886932417617,-1.3922770015424226,-0.4435490071596958,-0.9064885672742087,-0.9071997110438625,-0.8459518415210354,-0.8682161437185087,5.165999889373779,1
Americas,Caribbean & Central,El Salvador,0.6650875770669945,0.4244551732143122,0.6840597241849409,0.8972239212592024,0.8091157389803304,0.4076329286149733,0.35273796826070136,-1.2918128431197335,-1.230939222877749,1.261711096021114,1.0973067806707961,-1.1366268622005107,0.46570975256008906,0.3136872877180074,0.00986136571959923,0.5493566266527661,1.6261996306606732,0.8137604484602571,1.8763176611532433,0.7948467472648715,0.656990335622302,-0.6385785226399152,-0.1428933054970902,-0.9819353298068507,-1.4651740506036113,-1.2181045371409025,-0.7472456344028794,-0.8692681356282954,-1.3319414904777038,-1.0230398633092994,0.23626518814053218,-0.7571202832835834,-1.449818671261545,-0.3845443551290402,-0.2999026595358855,-1.120954779823595,6.468699932098389,1
Africa,West Africa,Liberia,0.350750226492389,0.4014955744389869,0.10373652960167223,-1.0511779555680947,-0.09484569443908353,0.8399030122561264,0.615589041134506,0.8934609942852022,0.442097889906797,0.7911599046547855,0.4365260983947784,-0.6728446541567505,-0.02679425973633399,0.9131095305850908,0.8255371873835897,-0.0513562852111653,-0.010905958774922586,0.2770470215390107,-0.4275703635016645,0.49812446056831416,0.23220261443267298,0.28576388888136195,0.6682363404128628,-0.957469344956254,-0.6525918903550567,-0.7025471343597749,-1.2914660398359197,-0.8692681356282954,-0.5458108860061539,-0.4753375231742239,-0.8494296049814377,-0.7571202832835834,-0.9064885672742087,-1.429855066958685,-1.3920010235061853,-0.36273887150833617,4.268599987030029,2
Africa,Central Africa,Gabon,-0.13572424463497698,-0.21076039290303406,-0.18642506768996212,0.16657321744896597,-0.320836052793937,1.9205782213590092,1.1412911868821152,-0.6958290692820238,-0.7529286192250216,-0.8557692651273645,-0.8850352661572572,0.022828657908889834,-1.01180228432918,0.6133984091515492,1.0974291279382533,-0.9524256530070625,-1.4141393211482904,-0.05839887028676802,-1.26534782701254,-0.392042399521358,0.8693841962171166,0.28576388888136195,0.3978597917762118,-0.957469344956254,-1.4651740506036113,-1.2181045371409025,-0.47513543168635924,-0.8692681356282954,-0.8078544208300039,-0.20148635310668608,-0.30658220842045275,-1.6978341116552462,-1.1781536192678768,-0.6458720330864514,-0.5729272505284605,-0.8682161437185087,5.106299877166748,2
Africa,Southern Africa,Mozambique,0.8746458107833984,0.7841555540277497,-0.7667482622732308,0.16657321744896597,0.5831253806254769,1.7044431795384327,1.6669933326297244,1.2907835101770087,1.8761297008649793,0.5558843089716212,-0.8850352661572572,0.9503930739964103,-0.7655502781809685,0.3136872877180074,-0.5339225153897278,-0.0513562852111653,0.45683849534953336,0.8808496268254126,0.41020710000921107,1.3882913206579863,1.2941719174067456,1.2101063004026391,-0.9540229514070432,-0.9330033601056572,-0.9234526104379082,-0.4447684329692112,-0.2030252289698391,0.012178888064844814,-1.3319414904777038,-1.5707422034443752,-1.1208533032619301,-1.070691559407471,-0.36315846328687235,-0.6458720330864514,-1.3920010235061853,-0.8682161437185087,5.216400146484375,1
Africa,Southern Africa,Madagascar,0.41062400755421874,0.302003979745908,0.10373652960167223,-1.0511779555680947,0.35713502227062344,1.7044431795384327,1.4041422597559197,1.2907835101770087,1.398119097212252,-0.8557692651273645,0.7669164395327873,-1.1366268622005107,-1.2580542904773915,0.013976166284465725,-0.5339225153897278,-0.351712741143131,0.6907107224117613,0.47831455663447836,0.20076273413149215,-0.392042399521358,0.8693841962171166,0.593878026055121,0.3978597917762118,-0.9085373752550605,-0.38173117027220516,-1.2181045371409025,-1.56357624255244,-1.1630838101926755,-1.069897955653854,-0.4753375231742239,0.23626518814053218,-0.12997773103580823,-1.449818671261545,-0.9071997110438625,-0.2999026595358855,-1.120954779823595,4.22790002822876,2
Americas,South America,Paraguay,1.8625631983035869,1.4193711201450958,0.9742213214765753,0.4101234520523781,1.7130771723997444,1.056038054076703,0.8784401140083106,-0.2985065533902173,-1.4699445247041127,1.7322622873874427,2.418868145222832,-0.2090624461129903,1.4507177771529352,0.9131095305850908,2.1849968901569072,1.750782450380629,1.3923274035984452,2.088454837398216,1.6668732952755243,1.3882913206579863,1.2941719174067456,2.134448711923916,1.4793659863228157,-0.8534889093412179,-1.4651740506036113,-0.7025471343597749,0.6133053791797214,-1.1630838101926755,-1.069897955653854,-1.5707422034443752,-0.30658220842045275,-1.3842628355313586,-0.36315846328687235,-1.1685273890012737,-0.8459518415210354,0.14273840070183635,5.976500034332275,1
Asia,Southern Asia,Sri Lanka,-0.08333468620587584,-0.03473680229220286,0.39389812689330655,0.6536736866557903,0.35713502227062344,-0.24077219684675635,0.35273796826070136,-0.6958290692820238,1.159113795385888,-1.0910448608105288,0.4365260983947784,0.4866108659526501,-0.7655502781809685,-1.1848683194497012,-1.3495983370537183,-0.6520691970750967,1.6261996306606732,-0.1254880486519235,0.6196514658869299,0.20140217387175677,0.4445964750274875,-1.2548067969874335,-0.9540229514070432,-0.8534889093412179,-1.1943133305207598,-0.7025471343597749,-0.2030252289698391,0.012178888064844814,-0.8078544208300039,-1.0230398633092994,-0.5780059067009452,0.18359354508807935,-1.449818671261545,-0.6458720330864514,-1.3920010235061853,-1.120954779823595,3.898099899291992,2
Asia,Western Asia,Lebanon,1.5482258477289814,1.0902835376987594,0.9742213214765753,1.3843243904660267,1.487086814044891,-1.1053123641290625,-0.698666323234517,0.6947997363392989,-0.03591271374593043,0.5558843089716212,2.418868145222832,1.6460663860620506,-0.2730462658845455,1.8122428948857159,0.8255371873835897,1.1500695385166975,0.6907107224117613,1.820098123937593,0.8290958317646488,1.091569033961429,1.5065657780015602,1.8263345747501574,1.7497425349594669,-0.8290229244906212,-1.1943133305207598,-0.7025471343597749,-0.2030252289698391,-0.8692681356282954,-0.5458108860061539,-1.0230398633092994,-1.1208533032619301,-1.3842628355313586,-1.7214837232552131,-0.12321667717162907,-0.5729272505284605,0.3954770368069226,2.7065000534057617,2
Asia,South-Eastern Asia,Laos,0.8147720297215687,1.1132431364740853,0.6840597241849409,0.6536736866557903,0.13114466391576995,1.7044431795384327,1.9298444055035289,-0.49716781133612054,1.6371243990386157,-1.0910448608105288,-0.5546449250192483,1.6460663860620506,0.46570975256008906,1.2128206520186327,1.3693210684929167,1.4504259944486633,0.45683849534953336,0.47831455663447836,-1.055903461134821,0.49812446056831416,0.23220261443267298,1.5182204375763981,1.2089894376861647,-0.8290229244906212,-0.6525918903550567,-0.9603258357503387,-1.0193558371193996,-0.8692681356282954,-0.8078544208300039,-0.4753375231742239,-1.3922770015424226,-0.7571202832835834,-0.36315846328687235,-0.12321667717162907,-0.5729272505284605,-0.8682161437185087,5.138899803161621,1
Africa,West Africa,Burkina Faso,0.6650875770669945,0.7305831568853227,0.6840597241849409,-0.3205272517578583,1.2610964556900375,0.6237679704355499,0.8784401140083106,1.489444768122912,-0.03591271374593043,-0.38521807376103595,-0.8850352661572572,0.25471976193076995,0.46570975256008906,-0.285734955149076,0.5536452468289262,1.1500695385166975,1.1584551765362172,0.5454037349996339,-0.00868163174622672,0.7948467472648715,0.4445964750274875,0.28576388888136195,0.6682363404128628,-0.8290229244906212,-1.1943133305207598,-0.4447684329692112,-0.47513543168635924,0.012178888064844814,-0.28376735118230395,-1.0230398633092994,-1.6637006998229151,-0.4435490071596958,-0.9064885672742087,-0.9071997110438625,-1.3920010235061853,-0.11000023540324992,4.547999858856201,2
Africa,West Africa,Niger,0.5004346791469633,0.6310915621922444,0.9742213214765753,1.3843243904660267,1.2610964556900375,-0.889177322308486,0.08988689538689676,1.0921222522311054,-0.5139233173986578,0.7911599046547855,1.0973067806707961,1.1822841780182904,-1.7505583027738145,0.3136872877180074,1.0974291279382533,0.2490001707208004,-0.010905958774922586,0.3441361999041668,-0.00868163174622672,1.091569033961429,1.081778056811931,-0.02235024829239711,-0.9540229514070432,-0.8290229244906212,-0.38173117027220516,-0.9603258357503387,-0.2030252289698391,-0.5754524610639153,-1.069897955653854,-0.4753375231742239,-0.8494296049814377,-0.4435490071596958,-0.6348235152805405,-0.9071997110438625,-1.1189764325136105,-1.120954779823595,4.556300163269043,2
Africa,West Africa,Benin,0.21603421910327258,0.4244551732143122,0.39389812689330655,-0.5640774863612704,0.35713502227062344,0.8399030122561264,0.08988689538689676,0.09881596250158918,0.2030925880804333,1.0264355003379497,-0.22425458388123942,0.4866108659526501,-0.02679425973633399,0.013976166284465725,1.0974291279382533,0.2490001707208004,-0.010905958774922586,0.00869030807838808,-0.8464590952571023,-0.09532011282480063,0.019808753837858423,1.5182204375763981,-0.1428933054970902,-0.8045569396400245,-0.6525918903550567,-0.18698973157864748,-0.7472456344028794,-1.4568994847570556,-0.8078544208300039,-0.4753375231742239,-1.1208533032619301,-0.4435490071596958,-0.36315846328687235,-0.6458720330864514,-1.3920010235061853,-0.36273887150833617,4.377399921417236,2
Asia,South-Eastern Asia,Cambodia,1.3611202819107637,1.3964115213697699,1.554544516059844,0.8972239212592024,0.13114466391576995,1.7044431795384327,1.9298444055035289,1.2907835101770087,0.2030925880804333,-1.0910448608105288,-0.5546449250192483,1.4141752820401705,1.4507177771529352,1.2128206520186327,1.6412130090475803,0.5493566266527661,1.1584551765362172,1.2162955186511912,0.20076273413149215,0.7948467472648715,1.081778056811931,1.5182204375763981,1.2089894376861647,-0.7250424888755852,-0.38173117027220516,-0.4447684329692112,-0.47513543168635924,-0.8692681356282954,-0.28376735118230395,-0.7491886932417617,-0.5780059067009452,-0.4435490071596958,-0.36315846328687235,-0.9071997110438625,-0.8459518415210354,-1.3736934159286813,4.340700149536133,2
Europe,Central & Eastern Europe,Russia,1.3760887271762214,1.4959031160628482,0.9742213214765753,0.6536736866557903,1.487086814044891,1.488308137717856,1.4041422597559197,1.0921222522311054,0.9201084935595245,-0.6204936694442003,-0.22425458388123942,1.6460663860620506,2.1894737955975696,1.5125317734521744,-0.26203057483506426,1.1500695385166975,0.9245829494739893,1.1492063402860357,0.8290958317646488,0.7948467472648715,1.081778056811931,-0.3304643854661562,1.7497425349594669,-0.6271785494731982,-0.38173117027220516,-0.7025471343597749,-1.56357624255244,0.30599456262922486,-0.28376735118230395,-0.20148635310668608,-0.03515851013996029,-0.7571202832835834,-0.36315846328687235,-0.9071997110438625,-0.5729272505284605,-1.120954779823595,5.785299777984619,1
Asia,Central Asia and the Caucasus,Kyrgyzstan,0.21603421910327258,-0.18780079412770811,0.6840597241849409,0.16657321744896597,-0.772816769503644,-0.6730422804879095,-0.698666323234517,0.6947997363392989,1.6371243990386157,-1.326320456493693,0.4365260983947784,0.022828657908889834,-1.2580542904773915,0.013976166284465725,0.00986136571959923,-0.351712741143131,-0.24477818583715055,0.5454037349996339,1.0385401976423676,0.20140217387175677,1.081778056811931,-0.6385785226399152,-0.1428933054970902,-0.6027125646226015,-0.9234526104379082,-0.9603258357503387,-0.7472456344028794,-0.8692681356282954,-0.8078544208300039,-1.0230398633092994,-0.5780059067009452,-1.070691559407471,0.18017164070046401,-0.12321667717162907,0.24614652244926435,0.14273840070183635,5.713500022888184,1
Africa,North Africa,Egypt,0.013960208019597234,0.1718995866857287,0.10373652960167223,0.4101234520523781,0.8091157389803304,-1.321447405949639,0.35273796826070136,-0.2985065533902173,0.6811031917331607,-1.0910448608105288,1.427697121808805,1.4141752820401705,-1.01180228432918,1.2128206520186327,0.5536452468289262,-0.6520691970750967,-0.24477818583715055,-0.1254880486519235,-0.4275703635016645,-0.09532011282480063,1.081778056811931,-0.3304643854661562,-0.9540229514070432,-0.6027125646226015,-0.6525918903550567,-0.9603258357503387,-0.47513543168635924,-0.5754524610639153,-0.8078544208300039,0.07236481696085173,0.5076888864210246,0.18359354508807935,-0.36315846328687235,-0.9071997110438625,-1.1189764325136105,-1.120954779823595,3.976599931716919,2
Africa,East Africa,Uganda,1.1365936029289028,1.1668155336165125,0.9742213214765753,0.6536736866557903,0.8091157389803304,1.2721730958972794,1.1412911868821152,1.2907835101770087,0.9201084935595245,-0.14994247807787164,0.7669164395327873,-0.4409535501348704,0.7119617587083006,0.9131095305850908,1.3693210684929167,0.8497130825847319,0.45683849534953336,1.015027983555724,0.6196514658869299,0.49812446056831416,0.8693841962171166,0.9019921632288801,0.9386128890495138,-0.5721300835593557,-0.11087045018935364,-1.2181045371409025,-0.47513543168635924,-0.2816367864995353,-0.28376735118230395,-0.4753375231742239,0.23626518814053218,-1.070691559407471,-0.6348235152805405,-1.1685273890012737,-0.2999026595358855,-0.36273887150833617,4.371699810028076,2
Europe,Central & Eastern Europe,Bosnia and Herzegovina,0.6126980186378934,0.3249635785212339,-0.18642506768996212,0.6536736866557903,0.35713502227062344,0.19149788679439675,-0.698666323234517,-0.2985065533902173,1.159113795385888,0.3206087132884569,0.4365260983947784,0.4866108659526501,-0.02679425973633399,0.013976166284465725,-0.26203057483506426,0.5493566266527661,0.45683849534953336,0.8137604484602571,-0.00868163174622672,0.20140217387175677,0.8693841962171166,1.5182204375763981,0.6682363404128628,-0.5721300835593557,-0.38173117027220516,-0.4447684329692112,0.06908497374668104,-0.8692681356282954,-1.3319414904777038,-0.7491886932417617,-0.5780059067009452,-0.7571202832835834,-0.6348235152805405,-0.12321667717162907,-0.026878068543310582,-0.36273887150833617,5.876999855041504,1
Asia,Central Asia and the Caucasus,Uzbekistan,-0.06088201830768954,-0.21076039290303406,0.9742213214765753,0.4101234520523781,-0.9988071278584975,-0.4569072386673329,-0.698666323234517,0.8934609942852022,1.159113795385888,-1.5615960521768573,-0.5546449250192483,-0.2090624461129903,-0.7655502781809685,0.013976166284465725,-0.5339225153897278,0.2490001707208004,-0.010905958774922586,0.07577948644354358,0.41020710000921107,-0.09532011282480063,0.23220261443267298,-0.3304643854661562,-0.1428933054970902,-0.5721300835593557,-0.6525918903550567,-0.7025471343597749,-1.0193558371193996,-0.8692681356282954,-0.8078544208300039,-0.7491886932417617,-0.30658220842045275,-0.7571202832835834,0.18017164070046401,-0.12321667717162907,0.5191711134418393,-0.8682161437185087,6.195000171661377,0
Europe,Central & Eastern Europe,Moldova,0.4255924528196758,0.24843158260348167,0.9742213214765753,-0.3205272517578583,1.035106097335184,-0.4569072386673329,-1.4872195418559309,-0.2985065533902173,-0.27491801557229417,-1.0910448608105288,-0.22425458388123942,0.022828657908889834,1.4507177771529352,1.2128206520186327,0.00986136571959923,1.750782450380629,0.6907107224117613,0.5454037349996339,0.41020710000921107,-0.392042399521358,0.8693841962171166,-0.3304643854661562,1.2089894376861647,-0.5476640987087589,-0.38173117027220516,-0.18698973157864748,-0.47513543168635924,-0.2816367864995353,-0.8078544208300039,-0.4753375231742239,-0.8494296049814377,-0.7571202832835834,-0.36315846328687235,-0.12321667717162907,-0.8459518415210354,-0.36273887150833617,5.815899848937988,1
